id,latitude,longitude,elevation
4242,65.0167,-52.55,14
86645,-12.5453,-55.7114,380
D0789,49.6064,9.8835,263
KINK0,31.7798,-103.2017,860
37675,41.3667,48.5167,550
KMDH0,37.7781,-89.252,125
10542,50.85,9.7333,273
78547,17.7,-64.8,20
40589,29.1167,48.3,0
78449,18.2333,-72.5333,0
70116,65.6167,-168.05,9
94289,-16.4667,147.8667,2
HIKAQ,53.62,-115.89,861
KAOH0,40.7075,-84.0271,297
KREE0,33.5967,-102.0422,1030
KEMT0,34.086,-118.0348,90
43314,11.25,75.7833,4
71619,48.01,-65.33,46
11301,47.4575,9.8486,715
94737,-34.6833,150.85,10
86975,-29.7117,-55.5261,121
7157,49.0167,2.5333,118
RORA0,26.6,127.2333,29
D0216,51.1143,7.8807,298
VVZTN,59.746,5.402,20
89069,-65.25,-64.2667,0
23914,60.4,56.5167,206
43278,13.0667,80.25,6
68399,-26.85,31.9167,94
91285,19.7167,-155.05,12
83818,-23.9333,-46.3,3
54952,35.9667,120.4833,25
KCKF0,31.9888,-83.7739,95
60714,37.25,9.8,5
67575,-13.6333,29.8833,1237
KFWB0,36.6985,-93.4022,411
4MT3C,46.05,-70.52,244
35699,47.45,74.8167,620
2438,59.0667,15.8333,60
41254,23.0667,57.65,1755
72532,40.6667,-89.6839,201
6011,62.0167,-6.7667,54
37791,40.4,44.6333,1792
EWZQK,51.94,-113.59,940
HR6IJ,53.61,-115.06,785
57602,28.8833,105.4333,336
66485,-16.7167,15,1100
EDUW0,53.9219,13.2189,11
71475,49.32,-124.93,76
65516,11.75,-2.9333,270
15635,42.2,25.3333,173
2635,55.5833,13.0167,13
2926,61.4833,21.7833,9
3831,50.55,-4,510
82870,-8.4167,-43.7167,265
40829,31.3333,61.4833,489
PAIK0,66.976,-160.4365,52
28307,57.1167,50,0
31566,50.3333,138.4667,193
JXPVQ,49.78,-86.99,348
OMDL0,24.51,52.3353,8
86996,-32.5542,-53.3764,47
1497,59,11.5333,157
57193,33.7833,114.5167,53
71495,51.37,-114.1,1145
KLEW0,44.0485,-70.2835,88
2271,64.9264,19.3786,309
93289,-38.8167,177.15,274
64056,1.0833,27.1333,524
46770,24.2667,120.6167,5
D4709,49.9996,7.5981,445
47402,44.9333,142.5833,7
7530,44.8167,0.5167,51
81890,-7.5522,-63.0717,72
60320,35.9,-5.3167,2
60686,21.3333,0.95,398
94866,-37.7,144.8,132
43415,8.75,80.5,98
21825,71.5333,129.9167,3
